market,id,start_oc,start_aht
Australia,6,2020-02-18,NA
Australia Chinese,177,2020-04-10,NA
Australia RMA,111,2020-04-08,NA
Australia SA,143,2020-04-10,2020-06-10
Brazil,55,2020-02-18,2020-05-10
Brazil_RMA,142,2020-02-18,2020-05-10
Brazil_SA,181,2020-04-08,2020-05-10
Canada,35,2020-02-18,NA
Canada SA,141,2020-05-04,NA
Central America,43,2020-02-18,2020-05-10
Central America_SA,178,2020-04-08,2020-05-10
China,5,2020-02-18,2020-06-10
Colombia,92,2020-02-18,2020-05-10
Costa Rica,146,NA,NA
Ecuador,147,NA,NA
English GAC,176,2020-02-18,2020-06-10
EU_Bulgarian,139,2020-02-18,2020-05-10
EU_Czech_Slovak,41,2020-02-18,2020-05-10
EU_Danish,30,2020-02-18,2020-05-10
EU_Dutch,45,2020-02-18,2020-05-10
EU_English,13,2020-02-18,2020-05-10
EU_Estonian,171,2020-02-18,2020-05-10
EU_Finnish,174,2020-02-18,2020-05-10
EU_French,12,2020-02-18,2020-05-10
EU_Hebrew,113,2020-02-18,2020-05-10
EU_Hungarian,16,2020-02-18,2020-05-10
EU_Italian,65,2020-02-18,2020-05-10
EU_Norwegian,64,2020-02-18,2020-05-10
EU_Polish,107,2020-02-18,2020-05-10
EU_Portuguese,83,2020-02-18,2020-05-10
EU_SA,175,2020-04-08,2020-05-10
EU_Slovenian,69,2020-02-18,2020-05-10
EU_Spanish,90,2020-02-18,2020-05-10
EU_Swedish,100,2020-02-18,2020-05-10
French Canadian,135,2020-02-18,2020-06-10
Germany,11,2020-02-18,2020-06-10
Guatemala,46,NA,NA
Japan OTG,9,2020-02-18,2020-06-10
Japan OTG English,115,2020-04-09,NA
Japan OTG Orders,117,2020-02-18,2020-06-10
Japan OTG WC,112,2020-02-18,NA
Jpan NFR Skill US Only,7,2020-02-18,2020-06-10
Malaysia Singapore,38,2020-02-18,NA
Mex_COL_SA,72,2020-04-08,2020-05-10
Mexico,42,2020-02-18,2020-05-10
Mexico_RMA,172,2020-02-18,2020-05-10
New Zealand,39,2020-02-18,NA
Philippines,170,2020-02-18,2020-06-10
RMA Commissions,3,2020-02-18,2020-06-10
Romania,93,2020-02-18,2020-06-10
Russia,84,2020-02-18,2020-06-10
Specific Services,116,2020-02-18,NA
Ukraine,179,2020-02-18,2020-06-10
US,1,2020-02-18,2020-06-10
US Escalation,87,2020-05-04,NA
US Korea NFR,14,2020-02-18,NA
US SA,27,2020-05-04,NA
US Spanish,2,2020-02-18,2020-06-10
